LOCALIDAD;CATEGORIA;ANO;MES;NUMERO_COMPARENDOS
ANTONIO NARINO;A;2015;AGOSTO;9
ANTONIO NARINO;A;2015;DICIEMBRE;1
ANTONIO NARINO;A;2015;ENERO;3
ANTONIO NARINO;A;2015;JULIO;15
ANTONIO NARINO;A;2015;JUNIO;1
ANTONIO NARINO;A;2015;MAYO;4
ANTONIO NARINO;A;2015;NOVIEMBRE;2
ANTONIO NARINO;A;2015;SEPTIEMBRE;1
ANTONIO NARINO;A;2016;ABRIL;2
ANTONIO NARINO;A;2016;AGOSTO;9
ANTONIO NARINO;A;2016;DICIEMBRE;6
ANTONIO NARINO;A;2016;ENERO;4
ANTONIO NARINO;A;2016;FEBRERO;10
ANTONIO NARINO;A;2016;JULIO;14
ANTONIO NARINO;A;2016;JUNIO;6
ANTONIO NARINO;A;2016;MARZO;9
ANTONIO NARINO;A;2016;MAYO;5
ANTONIO NARINO;A;2016;NOVIEMBRE;3
ANTONIO NARINO;A;2016;OCTUBRE;6
ANTONIO NARINO;A;2016;SEPTIEMBRE;16
ANTONIO NARINO;A;2017;ABRIL;10
ANTONIO NARINO;A;2017;AGOSTO;46
ANTONIO NARINO;A;2017;ENERO;32
ANTONIO NARINO;A;2017;FEBRERO;74
ANTONIO NARINO;A;2017;JULIO;12
ANTONIO NARINO;A;2017;JUNIO;10
ANTONIO NARINO;A;2017;MARZO;40
ANTONIO NARINO;A;2017;MAYO;21
ANTONIO NARINO;A;2017;OCTUBRE;1
ANTONIO NARINO;A;2017;SEPTIEMBRE;23
ANTONIO NARINO;A;2015;FEBRERO;0
ANTONIO NARINO;A;2015;MARZO;0
ANTONIO NARINO;A;2015;ABRIL;0
ANTONIO NARINO;A;2015;OCTUBRE;0
ANTONIO NARINO;A;2017;NOVIEMBRE;0
ANTONIO NARINO;A;2017;DICIEMBRE;0
ANTONIO NARINO;B;2015;ABRIL;4
ANTONIO NARINO;B;2015;AGOSTO;26
ANTONIO NARINO;B;2015;DICIEMBRE;20
ANTONIO NARINO;B;2015;ENERO;14
ANTONIO NARINO;B;2015;FEBRERO;20
ANTONIO NARINO;B;2015;JULIO;32
ANTONIO NARINO;B;2015;JUNIO;21
ANTONIO NARINO;B;2015;MARZO;11
ANTONIO NARINO;B;2015;MAYO;19
ANTONIO NARINO;B;2015;NOVIEMBRE;11
ANTONIO NARINO;B;2015;OCTUBRE;18
ANTONIO NARINO;B;2015;SEPTIEMBRE;19
ANTONIO NARINO;B;2016;ABRIL;40
ANTONIO NARINO;B;2016;AGOSTO;162
ANTONIO NARINO;B;2016;DICIEMBRE;85
ANTONIO NARINO;B;2016;ENERO;24
ANTONIO NARINO;B;2016;FEBRERO;19
ANTONIO NARINO;B;2016;JULIO;72
ANTONIO NARINO;B;2016;JUNIO;39
ANTONIO NARINO;B;2016;MARZO;32
ANTONIO NARINO;B;2016;MAYO;21
ANTONIO NARINO;B;2016;NOVIEMBRE;109
ANTONIO NARINO;B;2016;OCTUBRE;118
ANTONIO NARINO;B;2016;SEPTIEMBRE;133
ANTONIO NARINO;B;2017;ABRIL;74
ANTONIO NARINO;B;2017;AGOSTO;108
ANTONIO NARINO;B;2017;ENERO;117
ANTONIO NARINO;B;2017;FEBRERO;122
ANTONIO NARINO;B;2017;JULIO;115
ANTONIO NARINO;B;2017;JUNIO;91
ANTONIO NARINO;B;2017;MARZO;100
ANTONIO NARINO;B;2017;MAYO;158
ANTONIO NARINO;B;2017;OCTUBRE;1
ANTONIO NARINO;B;2017;SEPTIEMBRE;79
ANTONIO NARINO;C;2015;ABRIL;190
ANTONIO NARINO;C;2015;AGOSTO;290
ANTONIO NARINO;C;2015;DICIEMBRE;154
ANTONIO NARINO;C;2015;ENERO;319
ANTONIO NARINO;C;2015;FEBRERO;396
ANTONIO NARINO;C;2015;JULIO;285
ANTONIO NARINO;C;2015;JUNIO;308
ANTONIO NARINO;C;2015;MARZO;219
ANTONIO NARINO;C;2015;MAYO;326
ANTONIO NARINO;C;2015;NOVIEMBRE;145
ANTONIO NARINO;C;2015;OCTUBRE;212
ANTONIO NARINO;C;2015;SEPTIEMBRE;281
ANTONIO NARINO;C;2016;ABRIL;600
ANTONIO NARINO;C;2016;AGOSTO;1014
ANTONIO NARINO;C;2016;DICIEMBRE;1041
ANTONIO NARINO;C;2016;ENERO;238
ANTONIO NARINO;C;2016;FEBRERO;457
ANTONIO NARINO;C;2016;JULIO;521
ANTONIO NARINO;C;2016;JUNIO;512
ANTONIO NARINO;C;2016;MARZO;418
ANTONIO NARINO;C;2016;MAYO;460
ANTONIO NARINO;C;2016;NOVIEMBRE;991
ANTONIO NARINO;C;2016;OCTUBRE;935
ANTONIO NARINO;C;2016;SEPTIEMBRE;1115
ANTONIO NARINO;C;2017;ABRIL;1440
ANTONIO NARINO;C;2017;AGOSTO;1236
ANTONIO NARINO;C;2017;ENERO;1155
ANTONIO NARINO;C;2017;FEBRERO;1267
ANTONIO NARINO;C;2017;JULIO;1179
ANTONIO NARINO;C;2017;JUNIO;1203
ANTONIO NARINO;C;2017;MARZO;1557
