Fecha,Conológico,Muertos,Heridos,Daños,AUTOMÓVIL,BICICLETA,BUS,BUSETA,CAMIÓN,CAMIONETA,CAMPERO,MICRO,MICROBUS,MINIVAN,MOTOCARRO,MOTOCICLETA,SIN_INFORMACION_EN_CARPET,TRACCION_ANIMAL,TRACTOCAMIÓN,VOLQUETA
ene_2015,34,0,28,85,130,3,1,2,4,56,27,2,0,0,0,57,0,0,0,1
feb_2015,33,0,35,102,269,4,1,0,6,100,41,7,3,0,0,100,0,0,0,1
mar_2015,32,1,38,92,210,4,0,0,8,51,25,1,2,0,0,91,0,0,0,0
abr_2015,31,1,37,100,231,4,2,2,4,73,29,1,0,0,0,145,1,0,0,0
may_2015,30,4,40,94,340,14,3,0,10,131,48,5,0,0,1,101,0,0,0,0
jun_2015,29,3,36,103,325,2,4,1,18,99,62,3,0,0,0,118,0,0,1,1
jul_2015,28,0,47,93,309,17,3,2,17,93,30,6,0,0,0,156,0,0,0,1
ago_2015,27,0,46,99,256,3,1,0,8,79,28,4,1,0,1,160,0,0,1,0
sep_2015,26,2,47,117,295,12,5,2,13,82,27,8,1,0,0,187,0,0,2,0
oct_2015,25,0,46,104,356,10,4,0,9,80,35,3,5,0,1,169,0,0,2,2
nov_2015,24,4,44,117,279,6,3,2,7,90,27,3,0,0,0,88,0,0,0,0
dic_2015,23,1,34,112,145,14,6,0,12,75,20,2,1,0,1,158,0,1,1,1
ene_2016,22,2,42,91,328,24,3,1,18,125,47,10,3,0,0,450,0,2,0,0
feb_2016,21,1,33,81,385,11,5,2,15,136,53,9,1,0,1,272,0,0,0,5
mar_2016,20,1,39,114,235,8,3,2,7,90,40,6,5,0,0,120,0,1,0,2
abr_2016,19,1,37,124,374,12,6,3,10,124,31,9,2,0,0,82,0,0,1,0
may_2016,18,1,24,117,343,26,9,2,16,81,47,3,3,0,0,167,0,2,0,4
jun_2016,17,4,37,107,387,27,4,5,10,105,53,6,1,0,0,253,0,13,0,1
jul_2016,16,2,46,129,354,11,8,2,4,101,25,6,0,0,0,144,0,0,0,1
ago_2016,15,5,44,144,672,25,13,3,11,204,76,6,7,0,0,302,0,1,0,1
sep_2016,14,1,37,115,825,8,3,1,15,267,115,7,3,0,2,453,1,1,0,0
oct_2016,13,1,38,140,671,6,6,4,19,220,99,11,12,0,0,234,0,0,0,0
nov_2016,12,0,38,141,537,10,9,3,18,160,68,4,1,0,1,229,0,0,0,1
dic_2016,11,2,35,113,441,2,4,3,8,153,60,5,0,0,0,144,0,1,0,0
ene_2017,10,0,25,111,651,10,13,6,21,175,74,7,2,0,1,343,0,0,0,1
feb_2017,9,1,36,133,606,117,10,6,23,165,52,14,1,0,0,381,1,2,8,4
mar_2017,8,1,19,136,859,57,12,2,12,260,94,11,1,0,1,485,0,1,4,4
abr_2017,7,0,26,98,652,11,4,3,8,193,77,5,0,0,2,278,0,0,0,1
may_2017,6,3,37,165,819,32,10,6,15,196,93,15,0,0,1,309,1,3,2,8
jun_2017,5,2,28,141,602,46,9,2,12,197,73,13,0,0,0,264,0,0,3,4
jul_2017,4,5,28,133,683,9,11,3,10,175,54,11,0,0,2,322,0,2,2,1
ago_2017,3,2,41,121,679,59,12,3,23,207,47,15,0,0,1,409,0,2,1,5
sep_2017,2,2,38,153,471,19,2,5,11,144,43,15,0,0,0,238,0,2,3,2
oct_2017,1,0,0,0,15,0,0,0,0,4,1,0,0,0,0,4,0,0,0,0
