Fecha,Conológico,Muertos,Heridos,Daños,AUTOMÓVIL,BICICLETA,BUS,BUSETA,CAMIÓN,CAMIONETA,CAMPERO,MICRO,MICROBUS,MINIVAN,MOTOCARRO,MOTOCICLETA,SIN_INFORMACION_EN_CARPET,TRACCION_ANIMAL,TRACTOCAMIÓN,VOLQUETA
ene_2015,34,0,54,45,262,27,20,5,21,86,33,22,4,0,136,0,1,0,11,3
feb_2015,33,4,54,61,328,21,15,8,42,129,21,17,4,1,200,0,0,0,10,10
mar_2015,32,2,56,54,229,24,22,6,29,98,24,15,1,1,150,0,0,0,19,3
abr_2015,31,1,60,50,278,43,10,8,36,92,23,15,3,0,174,1,1,0,8,2
may_2015,30,1,49,48,241,43,10,2,14,101,15,12,0,0,181,0,0,0,10,3
jun_2015,29,6,51,62,228,34,16,5,14,78,16,23,1,1,185,0,0,0,4,3
jul_2015,28,2,60,50,290,59,9,10,26,88,18,20,0,0,235,0,0,0,14,4
ago_2015,27,4,51,61,226,41,11,7,20,73,13,27,1,1,191,0,1,0,6,4
sep_2015,26,3,55,53,333,70,17,15,30,111,19,44,1,1,315,0,1,0,5,2
oct_2015,25,3,55,64,222,19,26,8,17,88,20,34,1,0,321,0,0,0,6,6
nov_2015,24,3,43,51,263,34,17,3,17,88,11,11,4,0,220,0,0,0,5,3
dic_2015,23,3,45,53,339,40,8,7,22,114,21,29,2,2,437,0,0,1,9,1
ene_2016,22,3,42,49,379,96,8,9,25,128,24,37,3,2,513,0,0,2,0,0
feb_2016,21,4,43,52,558,127,27,12,55,169,31,59,6,0,691,0,0,2,0,0
mar_2016,20,3,62,65,562,91,15,12,31,188,33,42,6,0,578,0,0,0,0,0
abr_2016,19,0,66,67,664,166,18,11,41,229,47,34,11,0,588,0,0,0,0,0
may_2016,18,2,65,82,437,155,19,3,29,167,41,39,6,0,448,0,0,1,0,0
jun_2016,17,2,52,53,407,84,17,8,29,129,19,70,1,0,638,0,0,0,0,0
jul_2016,16,4,48,71,203,59,17,5,11,56,8,54,0,1,270,0,0,0,0,0
ago_2016,15,5,58,88,224,54,15,6,17,60,11,33,1,0,302,0,0,0,0,0
sep_2016,14,2,54,76,410,39,15,9,20,90,29,44,3,0,511,0,0,0,0,0
oct_2016,13,4,58,66,442,50,23,8,32,122,27,52,3,0,380,0,0,0,0,0
nov_2016,12,3,51,91,429,78,23,8,24,127,41,23,7,2,423,0,1,0,0,0
dic_2016,11,3,49,85,343,21,23,14,26,145,37,34,1,0,394,1,0,0,0,0
ene_2017,10,1,40,56,656,61,37,17,42,178,57,57,4,0,543,0,1,2,5,7
feb_2017,9,2,46,83,406,51,15,7,33,126,26,49,0,1,410,0,0,1,3,2
mar_2017,8,5,49,75,379,64,20,12,12,117,26,31,2,1,241,0,0,0,1,2
abr_2017,7,3,45,64,355,23,27,9,27,89,25,47,0,0,219,0,0,0,5,3
may_2017,6,2,64,77,524,44,33,11,24,140,31,57,0,0,377,0,0,0,1,4
jun_2017,5,3,54,86,490,46,30,17,32,117,25,40,0,0,279,0,0,0,3,1
jul_2017,4,5,52,82,644,98,31,13,25,157,43,49,1,0,322,0,0,0,4,3
ago_2017,3,4,61,80,554,94,40,19,28,155,21,45,0,1,287,1,0,0,7,6
sep_2017,2,3,57,83,340,34,22,8,16,82,22,28,0,0,191,0,0,0,1,0
oct_2017,1,0,0,0,13,0,1,2,0,4,2,1,0,0,2,0,0,0,0,0
