Fecha,Conológico,Muertos,Heridos,Daños,AUTOMÓVIL,BICICLETA,BUS,BUSETA,CAMIÓN,CAMIONETA,CAMPERO,MICRO,MICROBUS,MINIVAN,MOTOCARRO,MOTOCICLETA,SIN_INFORMACION_EN_CARPET,TRACCION_ANIMAL,TRACTOCAMIÓN,VOLQUETA
ene_2015,34,4,0,15,63,0,0,0,5,18,5,1,0,0,0,15,0,0,0,0
feb_2015,33,4,0,13,82,0,0,2,2,30,22,0,1,0,0,27,0,0,0,0
mar_2015,32,6,0,10,51,0,1,0,0,12,12,0,1,0,1,6,0,0,0,0
abr_2015,31,8,0,9,77,0,6,0,2,30,15,1,0,0,0,18,1,0,0,0
may_2015,30,2,0,10,51,0,0,0,1,18,13,0,1,0,0,23,0,0,0,0
jun_2015,29,2,0,13,19,0,0,0,1,8,4,0,0,0,0,7,0,0,1,0
jul_2015,28,5,0,10,10,0,1,1,3,9,6,0,0,0,0,5,0,0,0,0
ago_2015,27,4,0,11,36,1,0,0,2,20,10,0,0,0,0,16,0,0,0,0
sep_2015,26,10,0,10,32,1,1,0,1,8,6,1,1,0,0,22,0,0,0,0
oct_2015,25,7,1,12,54,0,0,0,2,14,6,0,0,0,1,23,0,0,0,0
nov_2015,24,3,0,23,40,0,0,0,2,8,8,2,0,0,0,12,0,0,0,0
dic_2015,23,4,2,12,11,0,0,0,1,2,0,0,0,0,0,15,0,0,0,1
ene_2016,22,4,0,8,46,5,3,0,3,17,5,1,0,0,0,44,0,0,0,0
feb_2016,21,6,0,9,79,4,0,0,7,45,15,0,0,0,0,91,0,0,0,0
mar_2016,20,4,0,9,127,4,0,0,5,43,28,1,1,0,1,57,0,0,0,0
abr_2016,19,4,0,8,81,0,2,0,1,44,19,2,0,0,0,67,0,0,0,0
may_2016,18,1,0,5,89,2,1,1,3,26,20,0,1,0,0,38,0,0,0,0
jun_2016,17,5,0,10,104,4,1,0,0,33,16,1,4,0,0,24,0,0,0,0
jul_2016,16,6,1,5,40,2,1,0,2,18,6,1,1,0,0,25,0,0,0,0
ago_2016,15,5,1,11,98,1,1,0,3,25,6,0,1,0,0,121,0,0,0,1
sep_2016,14,6,0,16,185,9,1,0,6,61,22,3,1,0,3,163,0,0,0,0
oct_2016,13,3,0,18,196,15,1,0,3,63,30,2,5,0,0,121,0,0,0,0
nov_2016,12,3,0,12,248,10,7,1,8,76,28,7,3,0,0,220,0,0,0,0
dic_2016,11,3,0,11,137,4,1,0,8,56,29,3,0,0,1,106,0,0,0,0
ene_2017,10,2,0,9,304,29,1,1,8,116,36,7,6,0,0,298,0,1,1,0
feb_2017,9,6,0,16,432,19,2,1,10,172,54,11,9,0,0,239,0,0,1,1
mar_2017,8,6,0,5,680,40,2,3,4,163,64,5,1,0,0,263,0,0,1,0
abr_2017,7,6,0,11,510,11,1,0,8,131,96,1,0,0,1,177,0,0,0,2
may_2017,6,4,0,11,540,36,2,2,9,191,111,6,0,0,0,404,1,0,0,3
jun_2017,5,3,0,9,313,22,3,1,10,94,68,4,0,0,2,263,0,0,0,2
jul_2017,4,2,0,16,434,15,2,1,12,184,78,3,0,0,2,277,0,0,0,3
ago_2017,3,5,0,15,344,18,4,4,9,82,34,5,0,0,0,240,0,0,0,4
sep_2017,2,3,0,12,148,20,3,0,6,61,14,4,0,0,1,92,0,0,0,2
oct_2017,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0
