Fecha,Conológico,Muertos,Heridos,Daños,AUTOMÓVIL,BICICLETA,BUS,BUSETA,CAMIÓN,CAMIONETA,CAMPERO,MICRO,MICROBUS,MINIVAN,MOTOCARRO,MOTOCICLETA,SIN_INFORMACION_EN_CARPET,TRACCION_ANIMAL,TRACTOCAMIÓN,VOLQUETA
ene_2015,34,4,55,50,215,36,5,9,22,67,18,0,6,2,0,178,0,0,5,13
feb_2015,33,3,42,54,195,25,4,6,32,64,16,0,16,3,0,248,0,0,6,18
mar_2015,32,3,62,64,134,41,7,4,14,64,5,1,9,0,0,172,0,0,2,7
abr_2015,31,4,53,40,252,36,13,3,21,70,16,0,5,1,0,179,1,0,2,13
may_2015,30,2,52,50,261,44,12,3,23,108,20,0,8,7,1,270,0,0,2,9
jun_2015,29,2,55,59,208,22,5,1,8,53,8,0,3,0,1,220,0,1,3,8
jul_2015,28,2,58,58,244,23,6,3,29,59,7,0,6,2,0,264,0,0,4,11
ago_2015,27,3,48,53,219,19,8,1,29,79,12,2,9,1,1,291,0,0,4,3
sep_2015,26,8,53,66,266,16,7,4,22,54,13,2,6,1,0,345,0,0,5,10
oct_2015,25,4,38,60,253,10,4,2,12,58,8,0,10,0,0,236,0,0,2,16
nov_2015,24,3,43,57,157,15,7,2,16,46,7,1,6,0,1,229,0,0,3,9
dic_2015,23,8,38,62,117,35,7,4,19,44,4,4,10,0,0,323,0,3,5,10
ene_2016,22,4,49,49,274,45,17,5,21,71,23,12,2,0,0,735,0,0,8,2
feb_2016,21,3,49,49,482,96,18,5,52,157,36,20,7,0,0,710,0,0,4,9
mar_2016,20,2,44,53,290,77,6,5,39,105,23,7,5,0,1,432,0,1,5,5
abr_2016,19,3,40,51,501,7,10,4,14,107,30,10,5,0,0,477,0,0,1,1
may_2016,18,3,62,68,618,62,17,2,28,157,45,11,4,0,1,725,0,0,2,4
jun_2016,17,6,57,56,578,31,13,2,19,111,19,15,1,0,0,834,0,0,0,18
jul_2016,16,0,56,57,233,38,7,5,16,62,12,10,0,0,0,515,0,0,3,6
ago_2016,15,3,41,74,316,3,10,5,34,79,15,10,3,0,0,515,0,0,10,20
sep_2016,14,5,52,70,317,22,16,8,27,98,17,11,3,0,1,637,0,0,8,18
0,13,3,61,68,298,7,13,1,28,93,23,12,4,0,0,487,0,0,4,8
nov_2016,12,2,59,78,272,11,15,3,31,110,11,15,1,0,0,513,1,0,5,11
dic_2016,11,2,45,67,198,10,23,8,44,77,14,11,0,0,0,278,1,0,4,12
ene_2017,10,2,40,41,526,42,16,4,28,121,28,12,2,0,0,452,0,2,2,0
feb_2017,9,4,41,60,432,56,8,10,57,128,41,15,0,0,1,564,0,0,5,0
mar_2017,8,4,55,50,515,83,29,7,40,144,42,28,0,0,1,478,0,0,3,0
abr_2017,7,2,36,53,599,12,17,6,26,137,33,13,0,0,0,275,0,0,2,0
may_2017,6,2,47,77,600,21,17,5,42,197,29,22,0,0,0,486,0,1,5,0
jun_2017,5,4,37,54,404,15,9,7,33,104,22,18,0,0,1,221,0,0,4,0
jul_2017,4,4,49,60,393,90,11,5,18,111,27,12,0,0,2,272,0,1,1,0
ago_2017,3,2,53,68,524,162,22,6,46,166,24,33,0,0,0,526,1,0,2,0
sep_2017,2,3,42,58,316,84,12,9,17,97,17,12,0,0,0,256,0,0,2,0
oct_2017,1,0,0,0,14,6,0,0,0,4,2,2,0,0,0,11,0,0,0,0
