Fecha,Conológico,Muertos,Heridos,Daños,AUTOMÓVIL,BICICLETA,BUS,BUSETA,CAMIÓN,CAMIONETA,CAMPERO,MICRO,MICROBUS,MINIVAN,MOTOCARRO,MOTOCICLETA,SIN_INFORMACION_EN_CARPET,TRACCION_ANIMAL,TRACTOCAMIÓN,VOLQUETA
ene_2015,34,27,0,100,579,0,3,3,7,127,106,3,0,0,0,109,0,0,1,6
feb_2015,33,47,2,123,799,0,5,4,17,213,152,3,2,0,0,142,0,0,0,2
mar_2015,32,38,2,116,465,0,3,3,13,149,88,2,1,0,0,121,0,0,0,0
abr_2015,31,22,4,131,715,1,2,2,14,208,123,4,2,0,0,170,0,0,0,0
may_2015,30,38,2,132,1040,8,17,1,38,325,203,9,1,0,0,310,0,0,2,1
jun_2015,29,38,0,126,1368,21,9,4,41,409,243,11,8,0,5,531,0,0,2,2
jul_2015,28,47,0,134,1469,42,6,5,45,435,232,9,2,0,0,634,0,1,1,7
ago_2015,27,53,0,120,1302,19,16,4,35,410,224,11,4,0,0,637,0,0,0,1
sep_2015,26,42,1,125,1773,30,10,4,52,527,313,11,10,0,1,1034,1,1,0,0
oct_2015,25,43,2,139,1848,15,8,1,47,539,335,5,8,0,1,963,0,0,0,1
nov_2015,24,22,4,132,1809,9,7,5,41,522,336,11,16,0,2,666,0,0,0,5
dic_2015,23,15,0,119,770,43,10,2,25,221,107,7,1,0,1,777,0,0,0,4
ene_2016,22,23,0,105,823,33,2,1,26,214,124,13,2,0,0,832,0,0,0,0
feb_2016,21,42,1,144,1596,69,13,6,46,522,296,16,16,0,0,788,0,0,0,0
mar_2016,20,39,3,134,1474,52,10,12,45,481,264,8,16,0,0,627,0,0,0,0
abr_2016,19,37,2,174,1934,22,8,3,51,658,406,9,20,0,0,691,0,0,0,0
may_2016,18,44,0,190,1285,7,7,3,19,358,250,9,7,0,0,524,0,0,0,0
jun_2016,17,37,1,170,1202,4,3,0,13,299,189,6,5,0,0,476,0,0,0,0
jul_2016,16,33,1,147,606,2,2,0,7,150,69,4,2,0,0,372,0,0,0,0
ago_2016,15,45,2,166,788,0,6,2,9,211,107,9,0,0,1,374,0,0,0,0
sep_2016,14,53,1,165,653,5,5,0,4,186,126,5,0,0,0,368,0,0,0,0
0,13,44,2,200,662,0,7,2,8,176,121,5,0,0,2,325,0,0,0,0
nov_2016,12,41,0,189,846,3,2,1,17,256,189,7,4,0,0,406,0,0,0,0
dic_2016,11,36,2,150,836,4,3,1,13,250,185,8,9,0,0,254,0,0,0,0
ene_2017,10,32,0,110,AUTOMÓVIL,BICICLETA,BUS,BUSETA,CAMIÓN,CAMIONETA,CAMPERO,MICRO,MICROBUS,0,MOTOCARRO,MOTOCICLETA,0,TRACCION ANIMAL,TRACTOCAMION,VOLQUETA
feb_2017,9,33,0,163,1155,4,9,1,11,296,170,5,6,0,1,460,0,0,1,0
mar_2017,8,38,0,143,1365,40,12,2,22,385,184,22,1,0,2,649,0,0,0,3
abr_2017,7,28,1,125,1371,42,7,3,23,389,244,24,1,0,2,610,0,1,0,5
may_2017,6,28,3,155,1099,9,6,6,11,269,179,7,1,0,0,463,0,1,0,1
jun_2017,5,29,1,106,1519,31,5,2,15,413,274,21,0,0,0,718,0,1,0,2
jul_2017,4,22,1,138,1410,34,9,1,13,395,246,11,0,0,2,747,0,1,0,1
ago_2017,3,22,3,148,1368,18,5,1,17,350,221,9,0,0,0,514,0,2,1,2
sep_2017,2,29,2,128,1241,68,8,3,19,309,148,12,0,0,0,495,0,0,0,1
oct_2017,1,0,0,0,711,27,4,3,5,187,124,8,1,0,0,333,0,0,0,1
0,0,0,0,0,33,4,0,0,0,9,3,0,0,0,0,11,0,0,0,0
