Fecha,Conológico,Muertos,Heridos,Daños,AUTOMÓVIL,BICICLETA,BUS,BUSETA,CAMIÓN,CAMIONETA,CAMPERO,MICRO,MICROBUS,MINIVAN,MOTOCARRO,MOTOCICLETA,SIN_INFORMACION_EN_CARPET,TRACCION_ANIMAL,TRACTOCAMIÓN,VOLQUETA
ene_2015,34,2,76,151,354,21,13,5,23,113,29,15,0,0,0,99,0,0,5,2
feb_2015,33,3,98,190,474,7,15,6,23,134,39,16,3,0,0,138,0,1,4,5
mar_2015,32,4,118,174,274,5,13,5,16,100,24,19,2,0,1,119,0,0,1,2
abr_2015,31,6,93,178,340,12,12,8,13,124,27,19,5,0,0,88,2,0,1,0
may_2015,30,4,117,180,325,20,11,9,22,118,49,15,4,0,0,118,0,0,0,3
jun_2015,29,3,99,151,521,32,9,6,22,158,48,17,2,0,0,192,0,2,5,0
jul_2015,28,3,94,179,626,66,18,14,47,219,65,54,1,0,1,356,0,0,2,3
ago_2015,27,3,104,147,955,37,24,14,42,348,119,39,5,0,1,352,0,1,3,4
sep_2015,26,3,91,179,848,36,27,11,46,354,92,28,5,0,4,394,0,2,14,4
oct_2015,25,5,90,159,606,10,22,13,32,209,68,32,4,0,1,464,0,0,4,1
nov_2015,24,4,76,198,387,6,7,5,16,117,26,21,8,0,0,244,0,0,5,2
dic_2015,23,5,74,194,379,23,16,3,33,141,33,22,0,0,1,443,0,0,4,5
ene_2016,22,6,65,152,637,14,19,8,36,224,62,28,5,0,1,683,0,0,13,7
feb_2016,21,2,80,159,1115,30,28,14,60,411,135,36,18,0,2,689,0,0,6,4
mar_2016,20,7,74,182,749,41,19,3,40,262,80,25,4,0,1,511,0,0,3,3
abr_2016,19,5,89,250,972,26,29,15,50,319,88,30,21,0,2,477,0,1,2,3
may_2016,18,4,83,216,782,25,28,9,33,255,58,28,6,0,2,353,0,2,6,0
jun_2016,17,3,71,193,753,28,17,14,26,266,53,35,5,0,1,494,0,0,2,4
jul_2016,16,8,81,217,551,13,23,13,17,148,44,24,2,0,0,439,1,0,2,0
ago_2016,15,10,79,208,643,20,25,11,22,174,49,31,5,0,2,535,0,0,0,0
sep_2016,14,4,92,203,968,32,27,6,52,313,99,45,9,0,1,713,0,0,8,1
0,13,5,94,229,991,24,19,16,51,265,87,32,10,0,0,512,0,0,2,4
nov_2016,12,1,70,252,661,11,25,20,33,223,41,15,5,0,1,421,0,2,5,6
dic_2016,11,5,58,237,468,13,14,2,27,161,46,17,2,0,2,297,2,0,2,3
ene_2017,10,2,57,153,1113,20,31,9,67,328,78,33,4,0,1,593,1,0,4,6
feb_2017,9,3,84,203,1025,102,41,18,63,331,92,43,2,0,0,924,1,0,8,6
mar_2017,8,4,83,228,1154,63,34,11,67,320,98,44,1,0,2,779,0,1,5,4
abr_2017,7,3,57,200,987,33,29,15,29,256,88,34,0,0,1,520,1,0,2,2
may_2017,6,5,87,237,1301,95,51,21,69,377,105,50,0,0,2,832,0,1,17,5
jun_2017,5,4,74,197,801,52,29,9,49,217,77,20,0,0,1,571,0,1,10,7
jul_2017,4,1,90,209,1185,73,40,12,60,335,101,40,0,0,2,693,0,0,3,9
ago_2017,3,4,96,218,1270,82,60,25,88,433,103,48,0,0,3,763,0,0,8,11
sep_2017,2,0,101,233,868,66,34,12,78,287,42,36,0,0,1,400,0,1,9,13
oct_2017,1,0,0,0,31,3,4,1,2,10,1,1,0,0,0,17,0,0,0,0
