Fecha,Conológico,Muertos,Heridos,Daños,AUTOMÓVIL,BICICLETA,BUS,BUSETA,CAMIÓN,CAMIONETA,CAMPERO,MICRO,MICROBUS,MINIVAN,MOTOCARRO,MOTOCICLETA,SIN_INFORMACION_EN_CARPET,TRACCION_ANIMAL,TRACTOCAMIÓN,VOLQUETA
ene_2015,34,3,37,106,702,14,10,3,32,169,80,17,3,0,0,239,0,0,12,2
feb_2015,33,2,51,135,889,8,19,10,40,232,102,31,13,0,1,199,0,0,9,0
mar_2015,32,1,43,149,528,7,12,1,11,144,54,22,2,0,2,102,0,0,4,0
abr_2015,31,1,44,135,541,6,11,6,18,129,63,16,3,1,1,85,2,2,3,0
may_2015,30,2,53,114,730,15,16,2,40,205,76,31,3,1,0,123,0,1,12,2
jun_2015,29,2,42,127,879,20,13,9,37,192,73,34,2,0,0,157,0,0,16,6
jul_2015,28,2,64,158,829,34,13,7,32,239,85,28,2,0,0,275,0,1,16,2
ago_2015,27,1,49,130,856,15,14,10,77,244,103,35,3,0,1,267,0,0,25,9
sep_2015,26,3,57,156,1024,31,22,19,45,317,113,47,8,0,1,406,0,0,23,3
oct_2015,25,1,48,157,855,3,18,10,26,205,97,27,8,0,0,392,0,0,9,1
nov_2015,24,5,37,180,632,5,16,11,33,149,76,39,5,0,0,179,1,1,5,1
dic_2015,23,8,49,135,567,11,16,9,19,131,32,34,1,0,0,295,0,0,5,2
ene_2016,22,2,40,101,965,29,18,12,38,228,94,25,13,0,0,431,0,2,12,1
feb_2016,21,2,48,138,1440,33,20,12,76,414,165,17,27,0,1,666,0,1,8,4
mar_2016,20,9,44,159,1558,31,31,15,66,465,174,28,33,0,1,573,0,0,6,0
abr_2016,19,1,33,158,2084,15,11,12,59,547,258,38,36,0,2,484,0,1,4,1
may_2016,18,3,53,189,1657,47,17,10,55,500,173,24,24,0,1,462,0,1,3,4
jun_2016,17,5,60,201,1250,19,18,12,41,318,112,30,7,0,2,564,0,0,6,7
jul_2016,16,2,61,191,1295,14,13,16,25,281,86,22,6,0,1,341,0,0,1,0
ago_2016,15,2,50,191,1624,22,26,12,25,408,105,41,2,0,0,529,1,0,8,1
sep_2016,14,4,55,213,2056,33,38,11,53,537,158,50,6,0,1,698,1,1,2,3
oct_2016,13,3,64,200,2204,6,29,8,41,524,183,39,3,0,1,585,0,0,7,2
nov_2016,12,3,50,200,2125,2,36,11,66,642,221,50,8,0,1,600,1,0,3,2
dic_2016,11,2,47,210,1471,2,20,10,25,365,121,27,5,0,0,430,2,11,2,0
ene_2017,10,1,49,126,2140,26,31,2,13,61,514,176,50,6,2,824,0,4,8,5
feb_2017,9,6,36,183,1697,54,30,2,18,59,402,140,36,6,3,598,2,3,15,2
mar_2017,8,3,49,222,1674,57,33,3,11,69,355,114,38,2,0,398,1,1,25,1
abr_2017,7,2,44,175,1366,40,23,2,12,69,272,87,36,0,0,390,0,2,29,4
may_2017,6,3,45,206,1991,171,21,5,9,106,429,164,25,0,0,517,0,2,46,6
jun_2017,5,2,38,170,1754,14,21,4,4,60,365,122,29,0,2,329,0,0,19,3
jul_2017,4,4,56,192,1859,105,19,3,11,58,335,140,40,1,0,495,0,0,19,3
ago_2017,3,2,54,187,2065,115,16,4,6,95,500,131,36,0,0,649,0,3,41,7
sep_2017,2,3,52,185,1499,114,19,2,12,54,265,111,33,0,0,407,0,0,22,5
oct_2017,1,0,0,0,72,6,0,0,0,6,20,7,5,0,0,29,0,0,4,1
