Fecha,Conológico,Muertos,Heridos,Daños,AUTOMÓVIL,BICICLETA,BUS,BUSETA,CAMIÓN,CAMIONETA,CAMPERO,MICRO,MICROBUS,MINIVAN,MOTOCARRO,MOTOCICLETA,SIN_INFORMACION_EN_CARPET,TRACCION_ANIMAL,TRACTOCAMIÓN,VOLQUETA
ene_2015,34,4,103,135,656,31,16,6,49,195,59,0,18,7,0,228,0,0,12,6
feb_2015,33,1,135,162,748,36,16,10,56,320,64,2,25,11,4,325,0,0,17,4
mar_2015,32,7,119,150,482,23,10,7,23,188,32,0,35,5,1,194,0,0,3,0
abr_2015,31,7,111,177,546,39,7,4,41,205,39,1,24,8,1,254,0,0,10,4
may_2015,30,13,122,178,674,32,14,4,50,223,47,0,27,4,2,292,0,0,6,3
jun_2015,29,5,81,171,579,42,20,9,53,203,36,0,20,3,0,267,0,0,8,5
jul_2015,28,6,119,145,685,48,11,13,77,250,52,0,47,6,2,376,0,0,13,7
ago_2015,27,4,121,153,760,110,25,9,78,264,55,2,49,2,0,503,0,0,18,10
sep_2015,26,11,138,166,978,104,20,10,73,354,61,1,57,12,1,737,0,1,6,1
oct_2015,25,8,132,149,602,16,10,7,40,227,30,1,46,8,1,529,0,0,5,6
nov_2015,24,5,103,175,471,14,5,5,37,134,23,2,35,4,0,276,0,0,1,5
dic_2015,23,10,117,148,477,31,11,8,45,157,35,0,31,0,0,510,0,0,4,5
ene_2016,22,5,92,121,857,39,15,3,81,299,51,39,10,1,797,1,0,1,6,10
feb_2016,21,7,114,176,1598,19,31,14,124,632,151,62,22,0,900,0,0,0,14,14
mar_2016,20,3,110,172,1182,25,20,9,95,464,102,44,22,2,821,1,0,0,8,0
abr_2016,19,9,127,226,1323,94,20,10,80,484,88,31,20,1,775,0,0,0,1,3
may_2016,18,9,129,213,746,85,20,7,42,259,62,29,11,0,603,0,0,0,5,1
jun_2016,17,8,141,211,609,43,30,10,19,197,43,37,7,1,620,0,1,0,4,2
jul_2016,16,2,105,204,630,43,14,4,27,174,53,29,6,3,726,0,1,0,3,0
ago_2016,15,8,136,202,744,23,24,8,43,228,57,46,3,0,831,0,4,0,3,6
sep_2016,14,5,119,217,770,29,27,7,43,223,51,49,5,2,787,0,0,0,6,6
0,13,10,138,243,833,73,28,6,57,293,47,42,4,0,758,0,0,1,4,4
nov_2016,12,7,144,250,769,32,27,25,60,294,64,46,10,0,427,0,0,0,6,5
dic_2016,11,8,111,228,921,23,22,3,65,369,61,45,6,2,597,0,0,0,8,5
ene_2017,10,8,118,171,1037,54,29,20,86,388,85,80,9,0,0,937,0,1,5,4
feb_2017,9,12,130,224,1100,116,32,14,78,350,79,67,6,0,1,759,1,0,7,6
mar_2017,8,7,145,232,865,98,26,7,71,261,53,69,0,0,3,807,2,0,5,7
abr_2017,7,11,105,204,585,29,27,14,39,194,40,67,0,0,1,442,0,0,1,3
may_2017,6,5,134,245,857,99,40,13,74,279,51,71,0,0,1,822,1,1,4,6
jun_2017,5,4,107,206,572,36,16,8,43,203,37,37,0,0,0,502,0,0,4,2
jul_2017,4,4,137,233,693,43,23,4,42,228,46,42,0,0,1,674,1,0,5,12
ago_2017,3,7,121,194,891,108,35,11,72,294,55,51,0,0,5,763,0,1,12,12
sep_2017,2,5,136,170,733,48,28,15,45,217,34,41,0,0,0,555,0,0,1,3
oct_2017,1,0,0,0,26,6,1,0,0,4,0,5,0,0,0,19,0,0,0,0
