Fecha,Conológico,Muertos,Heridos,Daños,AUTOMÓVIL,BICICLETA,BUS,BUSETA,CAMIÓN,CAMIONETA,CAMPERO,MICRO,MICROBUS,MINIVAN,MOTOCARRO,MOTOCICLETA,SIN_INFORMACION_EN_CARPET,TRACCION_ANIMAL,TRACTOCAMIÓN,VOLQUETA
ene_2015,34,3,32,48,415,5,0,1,20,158,32,1,2,0,0,132,0,0,1,1
feb_2015,33,3,23,56,439,0,3,3,34,191,45,2,6,0,0,121,0,0,2,1
mar_2015,32,0,38,53,189,0,0,0,14,125,29,1,2,0,0,45,0,0,0,2
abr_2015,31,3,34,62,282,6,2,0,12,101,26,1,1,0,1,102,2,0,0,0
may_2015,30,3,28,65,308,6,5,2,17,152,35,5,2,0,0,125,0,0,2,1
jun_2015,29,3,35,54,175,2,0,1,11,88,28,0,0,0,0,52,0,0,2,0
jul_2015,28,2,33,47,190,2,2,0,16,73,15,2,3,0,1,87,0,0,0,0
ago_2015,27,0,27,50,177,5,1,1,16,109,24,1,2,0,0,83,0,0,1,0
sep_2015,26,2,31,34,210,30,0,1,9,83,25,2,2,0,0,115,0,0,1,0
oct_2015,25,0,36,67,323,18,2,3,30,194,47,2,5,0,0,148,0,0,0,0
nov_2015,24,3,22,56,256,11,1,1,23,107,35,0,1,0,0,106,0,0,0,0
dic_2015,23,0,27,49,229,34,1,1,14,83,18,2,0,0,0,112,0,0,0,0
ene_2016,22,3,28,30,302,27,2,3,17,126,32,9,1,0,1,325,0,1,0,0
feb_2016,21,2,27,46,439,18,1,0,40,251,61,7,1,0,0,243,0,0,3,1
mar_2016,20,1,32,56,447,13,3,1,30,269,60,2,2,0,0,212,0,0,0,0
abr_2016,19,2,28,56,1000,21,2,0,42,422,148,1,11,0,0,388,0,0,1,2
may_2016,18,1,39,65,921,5,0,1,34,398,99,2,6,0,1,364,0,0,0,0
jun_2016,17,1,35,69,524,5,1,1,17,228,83,0,4,0,0,340,0,0,1,1
jul_2016,16,1,37,62,437,3,1,2,10,151,51,1,8,0,0,271,0,0,1,2
ago_2016,15,1,29,69,494,0,4,0,20,180,56,7,2,0,1,428,0,0,1,0
sep_2016,14,4,39,65,533,14,14,1,21,200,53,5,1,0,0,416,0,0,0,1
oct_2016,13,0,37,63,677,9,3,4,22,216,72,8,3,0,3,377,0,1,1,0
nov_2016,12,0,41,101,670,4,6,0,31,338,85,7,1,0,1,391,0,0,0,1
dic_2016,11,4,29,80,671,3,4,1,51,311,91,4,6,0,3,375,0,0,0,1
ene_2017,10,2,27,42,978,86,10,5,59,414,103,9,4,0,1,568,0,0,3,3
feb_2017,9,2,28,72,1017,135,11,2,91,428,94,15,4,0,1,822,0,1,2,6
mar_2017,8,0,25,84,1253,205,12,6,79,438,145,17,0,0,1,649,0,0,2,5
abr_2017,7,1,28,53,909,52,7,4,36,348,97,12,0,0,0,404,0,2,1,7
may_2017,6,2,39,69,1367,146,8,5,65,529,143,24,0,0,1,854,2,0,0,5
jun_2017,5,2,29,60,1146,103,11,2,63,368,95,16,0,0,1,802,0,0,5,6
jul_2017,4,1,43,70,1148,121,14,3,57,364,113,13,0,0,2,908,0,1,0,3
ago_2017,3,2,30,75,1173,175,6,4,55,347,109,15,0,0,4,910,0,0,1,6
sep_2017,2,0,31,67,742,94,19,5,30,243,70,12,0,0,2,606,0,1,1,2
oct_2017,1,0,0,0,35,5,0,0,2,5,5,1,0,0,0,33,0,0,0,0
