Fecha,Conológico,Muertos,Heridos,Daños,AUTOMÓVIL,BICICLETA,BUS,BUSETA,CAMIÓN,CAMIONETA,CAMPERO,MICRO,MICROBUS,MINIVAN,MOTOCARRO,MOTOCICLETA,SIN_INFORMACION_EN_CARPET,TRACCION_ANIMAL,TRACTOCAMIÓN,VOLQUETA
ene_2015,34,0,52,112,355,15,4,7,22,115,41,16,4,0,0,134,0,1,0,3
feb_2015,33,3,62,100,403,7,10,2,23,123,33,19,3,0,0,134,0,4,0,3
mar_2015,32,2,73,120,246,9,7,9,16,82,37,14,1,0,0,87,0,4,0,1
abr_2015,31,5,58,115,334,15,12,11,16,107,36,12,2,0,0,133,1,1,0,0
may_2015,30,7,64,137,454,31,7,4,26,131,50,11,2,0,0,162,0,1,0,1
jun_2015,29,3,59,103,435,25,12,6,26,101,26,16,1,0,0,193,0,3,0,3
jul_2015,28,3,49,126,582,52,15,8,46,150,43,20,3,0,0,259,0,3,0,3
ago_2015,27,5,58,108,493,32,8,5,26,133,31,11,2,0,0,215,0,1,0,2
sep_2015,26,3,84,112,403,22,5,8,15,83,20,16,1,0,0,204,0,1,0,2
oct_2015,25,6,63,119,411,16,6,4,21,109,25,6,4,0,0,278,0,1,0,2
nov_2015,24,2,47,145,341,8,5,1,18,110,29,14,3,0,0,176,0,1,0,1
dic_2015,23,0,52,151,423,14,2,2,27,107,36,8,0,0,0,327,0,1,0,5
ene_2016,22,2,53,91,495,27,13,5,45,142,38,16,3,0,0,501,1,1,4,2
feb_2016,21,2,55,135,668,40,16,16,46,301,70,9,12,0,1,612,0,0,2,4
mar_2016,20,4,63,114,691,39,8,7,40,234,57,19,7,0,1,526,0,0,2,4
abr_2016,19,4,65,134,857,28,12,2,31,275,81,9,6,0,1,407,0,0,3,4
may_2016,18,3,71,136,748,32,12,3,33,237,83,20,5,0,1,421,0,0,1,1
jun_2016,17,4,67,127,901,24,4,1,26,235,86,15,5,0,1,545,0,0,2,1
jul_2016,16,0,69,136,536,20,13,6,22,129,42,14,0,0,2,544,1,0,1,1
ago_2016,15,2,48,152,525,30,15,10,24,146,30,34,1,0,1,808,0,1,2,2
sep_2016,14,3,69,142,485,60,12,6,31,160,49,16,2,0,1,581,0,0,2,1
oct_2016,13,9,69,155,494,54,12,9,15,151,44,14,3,0,0,339,0,0,3,2
nov_2016,12,2,64,151,620,49,15,8,48,206,72,24,2,0,1,345,1,0,1,1
dic_2016,11,5,60,147,1097,20,15,4,33,329,151,19,5,0,2,340,2,0,1,0
ene_2017,10,3,60,115,783,116,9,9,33,219,58,28,1,0,3,483,0,0,1,1
feb_2017,9,2,67,134,812,81,19,10,55,308,73,39,2,0,0,728,1,1,1,3
mar_2017,8,1,62,143,1059,91,31,13,47,307,74,37,1,0,0,748,1,0,3,1
abr_2017,7,1,49,98,1036,100,17,9,34,274,107,20,0,0,0,654,0,1,3,6
may_2017,6,3,64,164,1471,249,33,16,73,414,129,48,0,0,1,856,0,0,4,4
jun_2017,5,3,57,127,980,143,28,19,51,256,77,41,0,0,1,581,0,0,4,1
jul_2017,4,2,49,121,1007,277,21,12,54,335,73,33,0,0,0,661,0,0,4,3
ago_2017,3,5,74,142,811,278,24,19,61,261,66,35,0,0,1,583,0,0,1,4
sep_2017,2,3,84,115,577,144,21,7,37,175,51,22,1,0,1,428,0,1,1,1
oct_2017,1,0,0,0,19,6,1,0,1,8,5,0,0,0,0,19,0,0,0,0
