Fecha,Conológico,Muertos,Heridos,Daños,AUTOMÓVIL,BICICLETA,BUS,BUSETA,CAMIÓN,CAMIONETA,CAMPERO,MICRO,MICROBUS,MINIVAN,MOTOCARRO,MOTOCICLETA,SIN_INFORMACION_EN_CARPET,TRACCION_ANIMAL,TRACTOCAMIÓN,VOLQUETA
ene_2015,34,3,35,32,236,20,5,3,13,73,15,3,1,0,0,119,0,0,0,2
feb_2015,33,1,23,31,228,19,7,6,4,87,20,7,3,0,0,159,0,0,0,1
mar_2015,32,2,37,33,111,24,3,1,7,53,8,2,0,0,1,92,0,0,2,4
abr_2015,31,4,33,26,168,14,1,1,8,61,11,1,0,1,0,105,0,0,0,4
may_2015,30,2,33,29,205,44,4,0,15,85,19,2,1,0,0,122,0,0,1,1
jun_2015,29,0,29,29,140,11,4,0,2,50,6,0,1,0,1,69,0,0,0,0
jul_2015,28,3,50,40,152,16,2,1,7,34,10,3,0,0,0,89,0,0,1,2
ago_2015,27,2,35,32,164,14,2,1,9,50,12,5,2,0,0,129,0,0,0,0
sep_2015,26,2,24,37,126,9,2,0,5,24,6,2,2,0,1,135,0,0,0,0
oct_2015,25,0,38,29,144,3,4,0,5,45,13,4,3,0,0,150,0,0,0,0
nov_2015,24,1,38,42,114,2,5,1,6,39,15,1,1,0,0,146,0,0,1,2
dic_2015,23,2,39,24,137,5,4,3,10,39,13,6,0,0,0,214,0,0,0,0
ene_2016,22,1,33,16,221,7,3,2,12,66,14,10,4,0,0,266,0,0,3,1
feb_2016,21,4,29,34,229,16,12,2,13,72,19,9,0,0,0,373,0,0,1,4
mar_2016,20,2,37,32,265,25,4,2,11,77,13,4,1,0,2,297,0,0,1,2
abr_2016,19,2,37,39,657,11,4,0,12,182,53,5,8,0,0,369,0,0,0,1
may_2016,18,2,35,36,725,36,10,3,6,200,72,10,5,0,0,387,1,0,0,1
jun_2016,17,2,38,39,411,12,4,4,16,90,28,3,1,0,0,291,0,0,0,3
jul_2016,16,2,41,36,513,9,5,3,8,104,38,7,5,0,1,457,0,0,2,0
ago_2016,15,1,38,41,457,7,15,3,9,119,23,17,1,0,0,619,0,0,0,6
sep_2016,14,2,42,46,479,17,9,4,22,149,26,14,1,0,0,708,0,0,3,4
Oct_2016,13,2,43,47,391,25,2,3,20,128,25,10,2,0,1,603,0,1,2,9
nov_2016,12,2,40,49,380,19,20,3,23,119,28,11,1,1,0,540,0,0,0,4
dic_2016,11,0,29,54,247,4,7,1,6,61,17,5,0,0,1,320,0,0,0,2
ene_2017,10,0,28,36,543,17,12,2,14,91,31,16,2,0,0,539,0,0,2,4
feb_2017,9,3,45,31,382,16,10,4,28,84,27,9,0,0,0,531,0,1,0,12
mar_2017,8,1,35,46,337,14,7,4,13,91,21,11,0,0,0,571,0,1,0,2
abr_2017,7,0,29,36,335,21,9,4,17,92,16,13,0,0,0,342,0,0,0,3
may_2017,6,3,38,41,451,16,12,3,14,146,23,14,0,0,0,502,0,0,0,5
jun_2017,5,4,30,30,415,16,8,5,16,113,29,12,1,1,0,335,0,0,0,2
jul_2017,4,0,46,30,522,19,9,6,22,150,33,10,0,0,0,411,0,0,2,8
ago_2017,3,4,32,34,414,74,16,9,38,144,28,9,0,0,0,423,0,1,2,11
sep_2017,2,1,31,30,339,30,11,5,26,104,19,7,0,0,1,347,0,0,1,6
oct_2017,1,0,0,0,20,0,0,0,1,8,4,1,0,1,0,13,0,0,0,0
