Fecha,Conológico,Muertos,Heridos,Daños,AUTOMÓVIL,BICICLETA,BUS,BUSETA,CAMIÓN,CAMIONETA,CAMPERO,MICRO,MICROBUS,MINIVAN,MOTOCARRO,MOTOCICLETA,SIN_INFORMACION_EN_CARPET,TRACCION_ANIMAL,TRACTOCAMIÓN,VOLQUETA
ene_2015,34,2,26,17,131,4,0,3,4,52,10,6,5,0,0,96,0,0,0,0
feb_2015,33,1,36,33,217,16,5,2,13,72,21,12,2,0,0,196,0,0,1,1
mar_2015,32,2,29,35,195,31,0,1,6,49,7,9,2,0,0,146,0,0,0,0
abr_2015,31,3,45,35,314,26,4,2,9,86,23,8,5,0,0,251,3,0,1,0
may_2015,30,1,31,33,201,23,2,2,7,51,10,2,4,0,0,165,0,0,0,0
jun_2015,29,2,40,30,224,26,2,1,9,58,18,1,1,0,0,206,0,0,0,0
jul_2015,28,1,35,33,218,26,8,3,10,78,22,10,1,0,0,162,0,0,1,0
ago_2015,27,3,45,31,306,17,6,2,12,95,17,3,0,0,0,234,0,0,0,1
sep_2015,26,2,40,32,246,30,8,5,7,65,11,7,3,0,0,211,0,0,0,1
oct_2015,25,5,41,32,238,13,5,2,6,69,12,14,1,0,0,216,0,0,0,0
nov_2015,24,2,27,39,197,15,7,0,7,55,9,5,0,0,0,211,0,0,0,2
dic_2015,23,2,31,25,221,10,9,4,11,63,15,9,0,0,0,346,0,0,0,0
ene_2016,22,3,23,24,245,16,6,4,9,54,15,7,0,0,0,328,4,0,0,4
feb_2016,21,2,31,28,258,18,4,5,15,88,20,2,2,0,0,285,4,0,0,1
mar_2016,20,1,35,42,261,20,2,2,11,72,10,2,0,0,0,240,0,0,0,1
abr_2016,19,4,44,40,370,3,5,1,8,83,16,11,5,0,0,211,0,0,0,1
may_2016,18,1,33,41,307,1,5,2,7,78,23,6,4,0,0,170,0,0,0,0
jun_2016,17,2,27,37,324,2,9,2,4,71,23,4,2,0,0,205,0,0,0,0
jul_2016,16,0,35,40,386,5,3,1,1,77,20,3,3,0,0,500,3,0,1,1
ago_2016,15,1,43,49,362,2,7,4,7,75,17,11,0,0,0,489,0,0,0,2
sep_2016,14,2,46,29,437,7,7,2,6,101,30,6,2,0,0,447,0,0,0,0
oct_2016,13,0,32,34,602,4,10,3,14,130,51,7,11,0,0,435,1,0,0,1
nov_2016,12,2,29,43,620,4,4,2,17,188,31,6,10,0,0,359,0,0,0,2
dic_2016,11,1,30,30,342,6,5,2,6,106,27,7,3,0,1,172,3,0,0,0
ene_2017,10,0,0,0,857,8,7,5,20,205,40,17,9,0,0,367,0,0,0,2
feb_2017,9,4,27,28,846,30,9,4,24,202,48,15,1,0,2,537,0,1,0,0
mar_2017,8,5,37,30,818,27,19,10,22,176,57,17,1,0,1,424,0,1,1,4
abr_2017,7,0,22,33,636,8,11,2,16,153,42,9,0,0,0,302,1,0,0,0
may_2017,6,1,32,37,659,22,10,0,21,145,45,15,0,0,2,455,2,0,0,3
jun_2017,5,3,36,26,539,11,11,2,13,102,42,5,0,0,1,334,1,1,0,2
jul_2017,4,0,33,36,509,15,3,2,14,107,10,11,0,0,1,255,0,0,1,0
ago_2017,3,1,26,27,526,67,21,3,9,118,19,22,0,0,0,322,0,1,0,2
sep_2017,2,4,29,29,451,41,5,4,10,74,22,6,0,0,0,224,0,0,0,0
oct_2017,1,1,30,29,12,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
