Fecha,Conológico,Muertos,Heridos,Daños,AUTOMÓVIL,BICICLETA,BUS,BUSETA,CAMIÓN,CAMIONETA,CAMPERO,MICRO,MICROBUS,MINIVAN,MOTOCARRO,MOTOCICLETA,SIN_INFORMACION_EN_CARPET,TRACCION_ANIMAL,TRACTOCAMIÓN,VOLQUETA
ene_2015,34,1,14,35,224,4,1,1,15,88,17,0,2,1,1,98,0,0,0,0
feb_2015,33,1,27,40,252,3,5,1,10,146,34,0,1,1,0,137,0,0,0,0
mar_2015,32,1,29,38,169,3,1,0,9,73,17,0,1,1,0,50,0,0,0,0
abr_2015,31,1,32,30,232,1,0,2,5,62,29,1,1,2,0,89,0,0,0,0
may_2015,30,4,32,33,178,5,0,1,9,94,22,0,0,2,1,84,0,0,0,1
jun_2015,29,1,32,37,136,4,4,2,13,51,11,0,2,1,1,74,0,0,0,0
jul_2015,28,4,27,41,275,34,3,0,17,83,11,0,4,0,1,159,2,0,0,3
ago_2015,27,2,25,35,421,41,3,4,23,137,30,0,3,1,0,208,0,0,0,0
sep_2015,26,0,20,31,270,29,8,3,8,96,15,0,4,2,0,185,0,0,0,0
oct_2015,25,1,25,36,220,17,5,3,6,95,22,0,5,1,1,226,0,0,0,0
nov_2015,24,0,21,34,149,10,1,0,0,61,8,0,1,2,0,47,0,0,0,0
dic_2015,23,0,24,36,136,28,3,4,9,44,4,0,1,0,0,90,0,0,0,0
ene_2016,22,3,22,22,309,78,6,1,16,147,23,9,3,0,0,255,0,0,0,0
feb_2016,21,0,28,50,586,97,4,9,21,195,56,7,6,0,1,366,0,0,1,1
mar_2016,20,1,30,46,381,46,5,2,18,120,23,1,2,0,0,235,0,0,0,1
abr_2016,19,0,21,48,484,4,12,3,20,216,58,9,8,0,0,230,0,0,1,1
may_2016,18,2,28,55,369,10,13,0,10,143,54,6,1,0,0,261,0,0,0,0
jun_2016,17,3,21,45,262,7,7,2,6,108,31,0,3,0,2,285,0,0,0,2
jul_2016,16,0,37,55,346,7,6,1,8,108,47,5,1,0,1,321,0,0,2,0
ago_2016,15,2,43,61,474,14,9,3,12,161,48,10,2,0,2,394,0,0,1,0
sep_2016,14,1,27,65,482,18,11,2,6,170,45,5,0,0,1,532,0,0,0,1
oct_2016,13,1,38,55,510,18,10,1,9,181,53,2,2,0,0,486,0,0,0,0
nov_2016,12,2,28,52,665,10,21,12,24,249,76,5,9,0,1,444,0,0,0,0
dic_2016,11,2,23,54,619,10,12,8,12,279,47,5,9,0,1,322,0,0,0,0
ene_2017,10,0,22,32,950,13,8,5,27,338,89,10,6,0,1,556,1,0,2,0
feb_2017,9,1,32,59,946,50,15,4,37,323,81,6,8,0,0,690,0,0,0,4
mar_2017,8,1,32,69,1042,58,24,11,27,324,99,17,1,0,1,672,0,3,0,0
abr_2017,7,1,26,68,824,8,17,2,13,239,79,7,0,0,1,449,0,1,0,2
may_2017,6,0,36,76,1295,40,26,11,30,403,156,15,1,0,4,813,2,1,0,0
jun_2017,5,2,29,50,947,32,11,5,25,348,121,13,0,0,1,550,0,2,0,1
jul_2017,4,1,32,49,754,40,10,6,25,266,78,16,0,0,0,432,0,1,0,1
ago_2017,3,2,27,72,955,39,17,7,18,288,76,14,0,0,0,507,0,0,0,0
sep_2017,2,0,22,59,569,18,6,2,11,167,70,7,0,0,0,203,0,0,0,1
oct_2017,1,0,0,0,32,3,1,0,2,7,2,0,0,0,0,8,0,0,0,0
