Fecha,Conológico,Muertos,Heridos,Daños,AUTOMÓVIL,BICICLETA,BUS,BUSETA,CAMIÓN,CAMIONETA,CAMPERO,MICRO,MICROBUS,MINIVAN,MOTOCARRO,MOTOCICLETA,SIN_INFORMACION_EN_CARPET,TRACCION_ANIMAL,TRACTOCAMIÓN,VOLQUETA
ene_2015,34,5,72,172,523,2,8,4,33,140,46,6,3,0,0,176,0,0,3,6
feb_2015,33,3,70,178,534,7,10,9,37,167,59,16,6,0,1,196,0,0,5,5
mar_2015,32,4,89,195,465,4,6,1,10,161,42,16,3,0,0,158,0,0,1,1
abr_2015,31,3,72,177,547,15,6,2,20,188,61,6,5,0,1,250,1,0,6,2
may_2015,30,4,82,175,666,32,5,5,30,205,78,16,6,0,0,277,0,0,4,6
jun_2015,29,3,90,163,566,144,14,6,25,186,55,21,2,0,1,319,0,0,1,6
jul_2015,28,5,86,185,747,184,28,10,63,212,60,28,8,0,0,478,0,2,8,21
ago_2015,27,3,106,160,771,94,12,18,57,207,65,39,1,0,0,373,0,0,10,20
sep_2015,26,3,101,196,801,120,29,10,59,224,72,47,6,0,0,512,0,1,14,16
oct_2015,25,6,99,204,1082,98,34,8,52,316,114,37,8,0,2,740,0,0,6,15
nov_2015,24,2,72,192,1035,47,23,9,70,291,120,23,11,0,2,492,0,1,7,17
dic_2015,23,5,76,169,602,71,27,8,28,189,60,33,2,0,2,639,0,0,0,9
ene_2016,22,3,75,142,931,49,36,22,50,283,99,43,6,0,2,1287,0,0,7,7
feb_2016,21,3,92,223,1712,102,59,29,80,525,204,81,20,0,1,1173,0,0,6,16
mar_2016,20,2,81,185,1220,71,23,10,53,351,164,38,13,0,0,702,0,2,2,18
abr_2016,19,6,82,214,839,22,30,10,21,247,87,15,16,0,0,512,0,0,3,5
may_2016,18,5,91,233,761,12,15,6,21,220,82,17,1,0,0,450,0,1,1,6
jun_2016,17,4,78,178,760,28,12,11,24,189,64,27,4,0,1,631,0,0,4,9
jul_2016,16,5,73,176,390,34,11,4,15,99,28,15,2,0,0,376,0,0,0,0
ago_2016,15,3,77,190,476,35,20,6,25,154,48,26,3,0,0,465,0,0,1,3
sep_2016,14,1,86,200,591,37,28,7,15,162,67,41,0,0,2,458,0,0,2,5
oct_2016,13,7,88,191,544,37,14,6,14,154,48,20,7,0,0,352,0,0,2,5
nov_2016,12,1,66,215,688,31,34,9,31,232,67,34,7,0,0,339,0,1,6,18
dic_2016,11,2,66,199,418,10,22,9,22,134,60,14,1,0,1,278,3,0,1,4
ene_2017,10,5,45,140,1148,54,19,2,32,272,87,21,5,0,0,644,0,1,7,9
feb_2017,9,6,73,165,1069,77,24,9,58,311,104,30,7,0,2,673,1,0,3,13
mar_2017,8,2,74,204,919,36,30,12,36,261,111,25,1,1,1,523,1,0,8,9
abr_2017,7,3,61,155,638,33,16,2,30,178,71,12,0,0,0,382,4,0,7,5
may_2017,6,4,74,180,952,30,19,4,23,258,102,14,0,0,0,482,4,0,6,6
jun_2017,5,6,78,193,877,20,17,8,19,193,84,19,0,0,0,344,0,0,2,7
jul_2017,4,2,61,172,1277,47,26,5,22,352,148,17,0,0,0,475,0,0,0,6
ago_2017,3,2,89,177,1026,87,16,6,18,259,139,20,0,1,0,411,0,0,4,5
sep_2017,2,4,106,175,528,11,9,6,21,135,52,18,0,0,0,196,0,0,2,7
oct_2017,1,0,0,0,10,1,0,0,0,5,2,0,0,0,0,7,0,0,0,0
