Fecha,Conológico,Muertos,Heridos,Daños,AUTOMÓVIL,BICICLETA,BUS,BUSETA,CAMIÓN,CAMIONETA,CAMPERO,MICRO,MICROBUS,MINIVAN,MOTOCARRO,MOTOCICLETA,SIN_INFORMACION_EN_CARPET,TRACCION_ANIMAL,TRACTOCAMIÓN,VOLQUETA
ene_2015,34,3,46,79,349,4,0,0,8,86,47,1,1,0,0,76,1,1,0,0
feb_2015,33,0,42,106,485,3,5,3,8,143,71,11,0,0,0,172,0,0,0,0
mar_2015,32,0,50,107,466,1,1,2,4,124,63,5,0,0,0,116,0,1,0,0
abr_2015,31,1,43,98,519,5,4,3,6,143,60,6,0,0,0,208,0,0,0,1
may_2015,30,4,55,93,564,8,0,1,7,159,74,8,0,0,0,145,0,0,0,1
jun_2015,29,1,38,109,640,18,5,0,13,167,72,3,0,0,1,207,0,0,1,1
jul_2015,28,2,44,128,585,35,8,3,15,165,54,10,1,0,0,348,0,0,0,3
ago_2015,27,1,51,108,399,2,5,1,5,105,62,8,0,0,0,127,0,0,1,0
sep_2015,26,1,41,111,419,9,4,1,10,104,38,15,2,0,0,165,0,0,1,1
oct_2015,25,1,42,113,414,3,6,2,7,88,48,7,4,1,0,161,0,0,0,0
nov_2015,24,1,36,128,458,4,5,2,8,109,40,4,2,0,0,164,0,0,0,1
dic_2015,23,1,37,100,375,4,5,1,7,106,40,3,0,0,0,311,0,0,1,0
ene_2016,22,3,28,66,662,12,9,3,16,183,73,7,2,0,0,491,0,0,1,0
feb_2016,21,1,45,93,899,19,12,3,16,252,99,23,5,0,1,694,0,2,0,4
mar_2016,20,1,35,110,829,12,7,3,13,205,99,13,4,0,0,489,0,0,0,0
abr_2016,19,1,45,123,798,22,6,1,14,228,79,11,8,0,0,280,0,0,1,2
may_2016,18,0,35,95,812,4,6,1,16,220,94,4,2,0,0,252,0,1,1,6
jun_2016,17,3,28,118,648,7,4,3,8,170,48,4,4,0,0,317,0,0,0,0
jul_2016,16,5,26,115,611,11,8,1,10,159,70,7,1,0,1,428,0,0,1,0
ago_2016,15,0,45,124,715,3,7,7,7,148,69,7,5,0,0,509,0,0,0,3
sep_2016,14,0,45,124,839,26,8,2,12,184,100,6,1,0,1,527,0,1,0,2
Oct_2016,13,0,45,121,894,18,11,2,13,215,101,7,2,0,1,587,2,0,0,0
nov_2016,12,1,35,135,924,15,10,4,19,246,98,14,10,0,1,457,0,1,0,0
dic_2016,11,0,31,100,792,6,7,3,27,226,85,7,5,0,2,381,0,0,0,0
ene_2017,10,3,22,98,1144,14,6,2,26,295,112,10,4,0,2,590,0,2,0,4
feb_2017,9,2,40,132,1285,164,9,3,26,349,124,19,7,0,0,697,0,0,0,1
mar_2017,8,1,29,137,1386,118,6,4,18,267,111,17,1,0,0,580,0,0,2,0
abr_2017,7,0,45,114,967,12,6,5,13,230,95,9,0,0,0,509,1,1,0,2
may_2017,6,2,43,148,1619,16,13,1,12,371,145,17,0,0,0,755,0,0,0,1
jun_2017,5,1,28,107,1077,13,8,1,14,249,116,10,0,0,0,612,0,1,0,1
jul_2017,4,3,33,135,1184,13,10,4,15,303,90,13,0,0,1,554,0,1,0,1
ago_2017,3,0,45,141,1096,24,10,3,10,293,78,3,0,0,0,522,0,0,0,3
sep_2017,2,4,32,132,643,21,3,0,1,150,52,7,0,0,0,316,0,2,0,1
oct_2017,1,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0
