Fecha,Conológico,Muertos,Heridos,Daños,AUTOMÓVIL,BICICLETA,BUS,BUSETA,CAMIÓN,CAMIONETA,CAMPERO,MICRO,MICROBUS,MINIVAN,MOTOCARRO,MOTOCICLETA,SIN_INFORMACION_EN_CARPET,TRACCION_ANIMAL,TRACTOCAMIÓN,VOLQUETA
ene_2015,34,0,17,30,193,27,8,7,21,67,21,7,0,0,1,146,0,0,8,6
feb_2015,33,0,41,25,263,42,5,2,21,97,25,18,3,0,0,218,0,0,3,2
mar_2015,32,0,32,42,151,41,3,3,14,60,15,7,1,0,0,187,0,0,0,3
abr_2015,31,2,32,36,207,61,4,6,21,66,11,7,1,0,0,224,1,0,2,5
may_2015,30,2,36,54,327,57,5,2,20,67,11,12,0,0,1,248,0,0,1,5
jun_2015,29,0,34,37,384,36,7,4,21,95,12,9,0,0,1,263,0,0,10,11
jul_2015,28,2,31,48,354,26,7,3,15,95,19,21,2,0,0,368,0,0,2,4
ago_2015,27,3,30,29,300,22,6,3,20,67,17,14,0,0,0,272,0,0,2,3
sep_2015,26,2,29,34,256,29,4,6,17,72,20,20,1,0,0,365,0,0,2,3
oct_2015,25,3,45,36,277,7,10,2,12,78,14,16,0,0,0,278,0,0,1,3
nov_2015,24,1,31,25,245,13,11,3,19,69,24,20,2,0,2,279,0,0,4,3
dic_2015,23,1,24,39,202,17,12,5,26,64,11,19,0,0,0,385,0,0,4,2
ene_2016,22,2,28,29,260,15,10,5,23,82,15,16,2,0,0,409,1,0,3,2
feb_2016,21,1,42,31,384,26,10,5,29,116,19,17,3,0,0,487,1,0,4,3
mar_2016,20,3,27,34,349,25,3,0,17,68,12,7,0,0,1,391,0,0,1,3
abr_2016,19,0,30,31,430,10,7,3,22,126,24,7,4,0,0,324,0,0,0,2
may_2016,18,3,33,36,877,28,12,3,12,188,53,11,8,0,0,578,0,0,0,1
jun_2016,17,1,27,49,507,13,5,4,7,97,37,6,4,0,0,605,0,0,0,0
jul_2016,16,3,38,49,347,0,5,6,7,78,24,7,3,0,2,349,0,0,2,7
ago_2016,15,4,32,36,279,5,12,2,11,64,15,6,3,0,0,344,0,0,6,2
sep_2016,14,3,41,38,326,25,17,6,21,91,18,12,1,0,0,382,0,0,6,10
Oct_2016,13,1,34,67,382,13,25,11,19,95,20,16,0,0,0,459,0,0,1,4
nov_2016,12,4,30,52,416,12,18,9,25,118,25,11,2,0,0,502,0,0,0,3
dic_2016,11,1,37,57,250,17,12,3,27,79,11,9,3,0,0,382,1,0,3,5
ene_2017,10,1,30,49,676,37,18,9,41,174,57,16,3,0,1,645,0,0,4,8
feb_2017,9,2,24,43,778,71,36,13,33,255,67,25,3,0,1,682,0,0,2,7
mar_2017,8,3,37,60,855,60,42,16,44,279,58,27,1,0,0,550,0,0,1,13
abr_2017,7,4,37,41,588,86,17,2,17,173,45,14,0,0,0,368,0,0,3,4
may_2017,6,2,31,35,822,134,38,18,38,239,65,31,0,0,0,525,0,1,1,8
jun_2017,5,3,19,44,607,91,18,13,23,168,51,14,0,0,0,369,0,1,1,2
jul_2017,4,2,36,37,633,81,25,7,23,168,48,16,0,0,0,358,0,0,2,5
ago_2017,3,1,26,36,769,177,31,11,44,227,51,25,0,0,1,537,0,0,4,5
sep_2017,2,1,34,48,362,51,15,7,29,95,28,18,0,0,1,304,0,0,1,11
oct_2017,1,0,0,0,17,4,2,0,1,3,2,0,0,0,0,20,0,0,0,0
