Fecha,Conológico,Muertos,Heridos,Daños,AUTOMÓVIL,BICICLETA,BUS,BUSETA,CAMIÓN,CAMIONETA,CAMPERO,MICRO,MICROBUS,MINIVAN,MOTOCARRO,MOTOCICLETA,SIN_INFORMACION_EN_CARPET,TRACCION_ANIMAL,TRACTOCAMIÓN,VOLQUETA
ene_2015,34,1,46,141,796,12,15,7,22,183,123,8,2,0,0,124,0,1,2,6
feb_2015,33,2,63,232,1272,4,14,8,15,319,229,10,8,0,0,181,0,0,1,2
mar_2015,32,0,62,220,848,2,22,8,15,193,155,10,6,0,1,110,0,0,1,1
abr_2015,31,1,72,173,1265,3,14,5,29,374,228,3,4,0,0,164,6,0,2,1
may_2015,30,1,67,196,2058,25,26,6,45,638,409,15,16,0,0,359,0,0,5,3
jun_2015,29,0,60,188,1768,57,27,4,47,550,303,15,9,0,0,288,0,0,3,4
jul_2015,28,2,69,195,1607,138,28,9,43,493,266,28,8,0,1,487,0,0,3,10
ago_2015,27,1,59,199,1775,71,34,13,60,538,309,14,7,0,0,392,0,0,5,7
sep_2015,26,3,67,227,1891,45,14,8,36,470,285,13,6,0,0,358,0,2,4,5
oct_2015,25,0,58,222,1936,14,30,11,65,521,330,14,18,0,0,379,0,0,2,5
nov_2015,24,2,34,201,1591,0,28,5,24,406,241,8,12,0,0,182,0,0,1,1
dic_2015,23,4,36,196,513,22,15,5,24,161,81,14,1,0,0,337,0,0,4,6
ene_2016,22,4,40,161,653,66,49,15,18,224,111,23,4,0,0,468,0,1,2,3
feb_2016,21,0,55,209,1425,66,53,12,57,446,230,27,21,1,2,551,1,3,6,6
mar_2016,20,3,48,222,954,35,21,10,51,352,152,11,10,0,1,334,0,0,2,1
abr_2016,19,0,58,229,944,17,22,13,23,267,193,13,18,0,0,188,0,0,2,1
may_2016,18,7,65,287,1077,34,23,2,18,319,201,7,8,0,1,191,0,0,0,3
jun_2016,17,2,66,224,929,17,10,2,11,260,143,11,6,0,0,272,0,1,1,3
jul_2016,16,5,50,192,531,14,16,4,6,140,48,5,2,0,0,204,0,1,0,0
ago_2016,15,1,64,230,480,15,15,5,14,97,58,4,5,0,0,139,0,0,6,1
sep_2016,14,7,60,266,524,9,17,5,12,149,82,11,2,0,0,231,0,0,1,0
Oct_2016,13,2,53,273,518,9,14,5,9,130,47,8,3,0,1,208,0,0,5,5
nov_2016,12,2,53,295,613,5,10,2,17,191,101,4,4,0,0,196,1,0,3,4
dic_2016,11,3,44,263,676,5,9,6,16,193,119,5,2,0,0,179,0,0,4,1
ene_2017,10,2,38,232,688,42,16,5,15,181,78,8,2,0,0,217,0,2,1,2
feb_2017,9,1,53,261,725,202,30,8,19,230,99,26,2,0,0,351,0,2,14,6
mar_2017,8,0,49,326,916,176,102,32,43,290,101,39,0,0,0,353,0,2,16,9
abr_2017,7,3,48,273,571,48,37,13,19,156,92,15,0,0,0,204,0,2,4,5
may_2017,6,7,64,299,624,82,70,22,10,176,89,33,0,0,0,250,0,1,9,4
jun_2017,5,2,42,227,593,35,49,12,6,142,71,18,0,0,0,132,0,0,0,5
jul_2017,4,3,48,197,1050,65,25,7,19,251,101,22,0,0,0,206,0,0,1,0
ago_2017,3,0,67,246,868,148,49,6,13,204,98,33,0,0,0,245,0,0,6,2
sep_2017,2,1,52,234,615,42,32,12,15,149,69,11,0,0,0,143,0,0,1,2
oct_2017,1,0,0,0,12,1,0,0,1,2,2,1,0,0,0,4,0,0,0,0
