Fecha,Conológico,Muertos,Heridos,Daños,AUTOMÓVIL,BICICLETA,BUS,BUSETA,CAMIÓN,CAMIONETA,CAMPERO,MICRO,MICROBUS,MINIVAN,MOTOCARRO,MOTOCICLETA,SIN_INFORMACION_EN_CARPET,TRACCION_ANIMAL,TRACTOCAMIÓN,VOLQUETA
ene_2015,34,1,19,20,191,23,3,3,21,68,11,3,1,0,0,150,0,0,4,8
feb_2015,33,2,36,20,151,41,4,4,12,57,13,6,1,0,0,127,0,0,7,5
mar_2015,32,2,33,27,133,22,2,1,4,41,9,4,0,0,2,108,0,0,0,0
abr_2015,31,1,29,23,127,15,4,2,10,31,3,0,2,0,0,144,0,0,7,8
may_2015,30,0,35,21,114,19,5,0,8,38,11,2,2,0,0,90,0,0,3,3
jun_2015,29,2,33,27,152,8,11,3,12,53,7,3,0,0,0,110,0,0,5,4
jul_2015,28,1,25,36,148,8,9,3,21,41,8,8,0,0,1,228,0,0,4,7
ago_2015,27,2,23,29,108,30,2,0,8,33,11,1,0,0,0,175,0,0,2,1
sep_2015,26,0,23,24,84,16,5,4,11,25,4,7,0,0,0,167,0,0,3,3
oct_2015,25,2,39,30,102,1,8,4,4,10,6,6,0,0,0,127,0,0,0,2
nov_2015,24,3,17,27,59,2,7,1,9,23,7,7,0,0,0,78,0,0,0,5
dic_2015,23,2,14,24,109,6,13,4,14,32,12,10,0,0,0,242,0,0,7,4
ene_2016,22,0,24,18,125,7,9,4,12,34,7,10,0,0,0,202,0,0,4,1
feb_2016,21,0,20,19,251,22,3,1,13,47,7,14,0,0,0,193,0,0,2,6
mar_2016,20,3,23,15,195,6,5,1,8,37,15,13,3,0,0,221,0,0,2,1
abr_2016,19,2,19,26,209,4,6,5,12,51,18,2,0,0,0,238,0,0,1,2
may_2016,18,2,16,33,183,1,6,2,9,52,10,5,2,0,0,178,0,0,2,0
jun_2016,17,1,21,35,178,13,8,1,6,54,13,10,1,0,0,268,1,0,7,0
jul_2016,16,3,21,37,217,6,13,2,4,48,10,9,0,0,1,219,0,0,1,3
ago_2016,15,1,23,27,322,3,17,8,7,63,9,8,0,0,1,475,0,0,0,0
sep_2016,14,1,30,40,331,4,29,2,11,74,18,10,3,0,1,427,0,0,1,0
Oct_2016,13,1,30,32,433,8,12,8,16,99,20,18,0,0,0,509,1,2,0,6
nov_2016,12,6,28,43,493,5,23,7,31,135,34,15,0,0,0,413,1,0,1,2
dic_2016,11,1,19,34,400,10,16,5,15,135,25,14,1,0,0,317,1,0,2,2
ene_2017,10,0,17,19,669,13,21,5,22,159,31,19,1,0,1,583,0,3,7,3
feb_2017,9,1,26,19,749,35,23,9,36,141,32,18,0,0,0,484,0,2,2,1
mar_2017,8,1,21,39,615,60,16,8,16,142,36,26,0,0,0,410,1,0,2,8
abr_2017,7,2,24,38,509,18,28,8,16,93,36,22,0,0,0,281,3,0,2,6
may_2017,6,1,30,34,551,21,17,5,25,124,31,19,0,0,0,359,0,0,1,7
jun_2017,5,4,27,31,451,50,9,2,17,106,26,21,0,0,0,252,0,0,3,9
jul_2017,4,3,28,32,535,19,18,6,18,129,30,15,0,0,0,378,0,0,3,5
ago_2017,3,1,28,30,692,78,30,3,45,160,35,25,0,0,2,461,0,0,1,6
sep_2017,2,0,25,33,546,57,21,6,22,133,24,10,0,0,1,356,0,1,1,6
oct_2017,1,0,0,0,32,2,3,1,0,9,0,3,0,0,0,22,0,0,0,1
