Fecha,Conológico,Muertos,Heridos,Daños,AUTOMÓVIL,BICICLETA,BUS,BUSETA,CAMIÓN,CAMIONETA,CAMPERO,MICRO,MICROBUS,MINIVAN,MOTOCARRO,MOTOCICLETA,SIN_INFORMACION_EN_CARPET,TRACCION_ANIMAL,TRACTOCAMIÓN,VOLQUETA
ene_2015,34,1,19,33,186,3,7,3,8,64,23,8,0,1,0,67,0,0,1,0
feb_2015,33,1,17,28,234,0,0,4,4,100,21,5,1,0,0,81,0,0,1,0
mar_2015,32,1,25,27,134,0,1,0,3,38,10,5,0,0,0,59,0,0,0,0
abr_2015,31,2,23,32,109,0,0,1,4,35,14,2,1,0,0,54,0,0,0,1
may_2015,30,3,19,33,193,7,5,2,8,73,16,9,1,0,0,75,0,0,0,3
jun_2015,29,2,15,33,204,1,4,1,4,63,14,1,1,0,1,80,0,0,1,0
jul_2015,28,4,25,35,192,17,1,0,8,52,16,1,0,0,0,110,0,1,0,1
ago_2015,27,1,22,28,193,12,5,2,3,53,15,4,1,0,0,99,0,0,0,1
sep_2015,26,1,34,24,162,1,5,3,12,43,7,6,2,0,0,86,1,0,0,0
oct_2015,25,1,24,27,112,0,0,2,5,42,17,7,0,0,0,84,0,0,0,1
nov_2015,24,1,14,35,87,3,1,0,4,33,4,4,0,0,0,58,0,0,0,1
dic_2015,23,2,21,27,81,3,1,0,1,17,6,7,2,0,0,94,0,0,0,0
ene_2016,22,2,14,26,135,4,2,1,11,36,8,4,0,0,0,115,0,0,0,0
feb_2016,21,1,11,24,271,13,2,3,4,87,18,7,2,0,1,183,0,0,0,1
mar_2016,20,1,19,33,268,20,2,3,5,78,19,6,1,0,0,157,1,0,0,0
abr_2016,19,1,22,27,347,14,8,2,11,126,30,4,3,0,0,165,0,0,0,1
may_2016,18,1,35,42,284,5,2,2,11,68,26,6,4,1,0,116,0,0,0,1
jun_2016,17,1,28,42,318,8,2,1,7,86,13,5,3,0,0,155,0,0,0,0
jul_2016,16,1,24,28,347,16,2,3,2,77,13,2,4,0,1,232,0,0,0,1
ago_2016,15,3,31,20,514,9,10,3,9,123,36,25,1,0,0,724,1,0,2,1
sep_2016,14,1,22,30,548,21,7,3,15,151,44,27,3,0,0,735,0,0,0,3
oct_2016,13,1,21,33,611,9,3,6,19,139,51,25,2,0,0,423,0,0,0,2
nov_2016,12,2,20,44,567,16,9,6,29,178,50,20,2,0,1,405,0,0,2,1
dic_2016,11,5,11,40,694,7,6,0,27,172,41,13,3,0,0,362,3,1,0,2
ene_2017,10,0,15,37,649,43,11,6,31,191,35,17,1,0,2,529,0,0,2,8
feb_2017,9,0,18,21,716,117,9,6,27,231,55,21,1,0,1,529,0,1,0,2
mar_2017,8,2,27,35,962,84,10,9,21,276,84,23,0,1,3,506,0,0,2,8
abr_2017,7,0,22,32,890,14,8,2,26,197,70,14,0,0,0,471,0,0,1,6
may_2017,6,0,19,33,1010,51,10,3,34,291,87,16,0,0,3,608,1,0,1,7
jun_2017,5,0,30,36,796,38,9,2,17,216,56,12,0,0,0,414,0,1,2,5
jul_2017,4,1,16,34,839,73,4,3,19,178,58,16,0,0,1,439,0,0,0,1
ago_2017,3,4,26,37,833,169,13,8,28,204,55,23,0,0,1,461,0,1,2,4
sep_2017,2,2,28,34,621,97,9,8,31,152,32,22,0,0,0,288,0,0,3,4
oct_2017,1,0,0,0,13,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0
